Age,gender,How often do you feel stressed?,How often have you felt anxious or worried in the past month?,"How often have you felt down, depressed, or hopeless?",How often do you engage in self-care activities?,How would you rate your sleep quality over the past week?,How often do you exercise?,How balanced do you consider your diet?,How often do you consume alcohol or use recreational substances?,How satisfied are you with your academic performance?,How pressured do you feel by your academic responsibilities?,How often do you procrastinate?,How balanced do you feel between work/study and personal life?,How resilient do you consider yourself in the face of challenges?,How optimistic are you about your future?,How aware are you of your emotions and feelings?,How effective are your coping mechanisms?,How often do you feel lonely?,How would you rate your relationship with your family?,How satisfied are you with your romantic relationship (if applicable)?,How anxious do you feel in social situations?,How confident are you in your communication skills?,Have you ever been diagnosed with a mental health condition?,Have you ever attended therapy or counseling sessions?,How would you rate your physical health over the past month?,risk_level,risk_score
21.0,,4.0,3.0,3.0,4.0,2.0,5.0,3.0,5.0,3.0,4.0,4.0,4.0,4.0,1.0,2.0,2.0,2.0,1.0,5.0,3.0,1.0,,,2.0,Moderate,44
20.0,,4.0,2.0,5.0,2.0,5.0,4.0,3.0,5.0,5.0,5.0,4.0,4.0,3.0,5.0,1.0,2.0,2.0,1.0,1.0,3.0,3.0,,,3.0,Moderate,45
21.0,,5.0,5.0,5.0,5.0,3.0,3.0,4.0,5.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,,,2.0,High,52
20.0,,4.0,3.0,4.0,3.0,1.0,4.0,2.0,5.0,1.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,,,3.0,Moderate,34
20.0,,3.0,2.0,2.0,4.0,2.0,2.0,3.0,5.0,1.0,2.0,4.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,5.0,1.0,2.0,,,3.0,Moderate,32
21.0,,3.0,1.0,2.0,3.0,5.0,1.0,3.0,5.0,3.0,3.0,2.0,3.0,1.0,3.0,5.0,1.0,1.0,3.0,1.0,2.0,2.0,,,5.0,Moderate,35
21.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,,,5.0,High,59
22.0,,5.0,4.0,1.0,2.0,4.0,5.0,4.0,5.0,3.0,5.0,5.0,3.0,5.0,5.0,3.0,4.0,3.0,1.0,5.0,5.0,2.0,,,3.0,High,51
20.0,,2.0,2.0,2.0,3.0,3.0,5.0,3.0,5.0,2.0,2.0,4.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,5.0,1.0,3.0,,,2.0,Moderate,37
20.0,,4.0,4.0,3.0,4.0,5.0,4.0,4.0,5.0,1.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,4.0,3.0,5.0,4.0,3.0,,,3.0,Moderate,49
20.0,,5.0,5.0,4.0,2.0,1.0,4.0,4.0,5.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,2.0,5.0,2.0,3.0,,,2.0,Moderate,48
20.0,,4.0,4.0,3.0,5.0,4.0,5.0,5.0,5.0,2.0,3.0,5.0,5.0,2.0,3.0,1.0,3.0,2.0,2.0,5.0,4.0,2.0,,,4.0,Moderate,47
21.0,,4.0,4.0,3.0,2.0,4.0,2.0,3.0,5.0,2.0,4.0,5.0,2.0,1.0,1.0,1.0,2.0,4.0,2.0,5.0,1.0,1.0,,,2.0,Moderate,39
20.0,,3.0,4.0,2.0,4.0,3.0,3.0,2.0,5.0,3.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,5.0,2.0,4.0,,,2.0,Moderate,40
21.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,3.0,5.0,3.0,3.0,4.0,3.0,,,3.0,High,58
56.0,,3.0,5.0,2.0,3.0,5.0,2.0,1.0,5.0,4.0,1.0,3.0,4.0,2.0,4.0,1.0,5.0,5.0,3.0,5.0,5.0,1.0,,,5.0,Moderate,45
20.0,,4.0,5.0,4.0,4.0,2.0,2.0,1.0,5.0,5.0,3.0,5.0,1.0,5.0,3.0,1.0,3.0,1.0,1.0,5.0,3.0,3.0,,,3.0,Moderate,44
35.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,1.0,5.0,1.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,1.0,,,1.0,High,53
21.0,,4.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,4.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,4.0,High,59
21.0,,4.0,3.0,3.0,2.0,3.0,2.0,2.0,4.0,4.0,2.0,4.0,3.0,3.0,4.0,2.0,3.0,3.0,1.0,5.0,3.0,2.0,,,4.0,Moderate,41
21.0,,5.0,5.0,5.0,5.0,1.0,1.0,5.0,5.0,1.0,5.0,5.0,3.0,1.0,5.0,1.0,1.0,5.0,5.0,5.0,1.0,1.0,,,1.0,Moderate,46
21.0,,2.0,2.0,2.0,3.0,4.0,3.0,5.0,5.0,2.0,3.0,4.0,2.0,3.0,2.0,2.0,3.0,5.0,1.0,5.0,2.0,4.0,,,3.0,Moderate,40
21.0,,4.0,5.0,4.0,4.0,3.0,4.0,3.0,5.0,4.0,3.0,4.0,2.0,5.0,5.0,1.0,5.0,4.0,3.0,5.0,3.0,5.0,,,3.0,High,54
21.0,,5.0,5.0,5.0,1.0,1.0,1.0,1.0,5.0,3.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,5.0,High,52
27.0,,5.0,3.0,4.0,2.0,4.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,3.0,2.0,1.0,3.0,4.0,4.0,3.0,1.0,3.0,,,3.0,Moderate,49
21.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,5.0,High,63
21.0,,5.0,5.0,5.0,3.0,4.0,3.0,5.0,5.0,5.0,4.0,5.0,4.0,2.0,4.0,2.0,4.0,4.0,3.0,3.0,3.0,2.0,,,2.0,High,52
17.0,,3.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,5.0,3.0,3.0,,,3.0,Moderate,38
20.0,,3.0,3.0,3.0,2.0,2.0,2.0,3.0,5.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,3.0,3.0,2.0,5.0,2.0,3.0,,,2.0,Moderate,41
21.0,,4.0,3.0,4.0,3.0,1.0,3.0,3.0,4.0,5.0,5.0,4.0,4.0,2.0,3.0,2.0,3.0,2.0,4.0,1.0,1.0,2.0,,,2.0,Moderate,43
21.0,,2.0,1.0,2.0,2.0,4.0,5.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,2.0,5.0,3.0,3.0,,,3.0,Moderate,40
